epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,27739.4,1.3565,0.64967,0.85603,0.92041,0.84636,0.92313,0.59215,1.20857,0.66204,0.83711,0.0086536,0.0086536,0.0086536
138,27954.3,1.3526,0.65197,0.85698,0.92014,0.84639,0.92352,0.59224,1.20859,0.66106,0.83721,0.0086437,0.0086437,0.0086437
139,28153.2,1.35184,0.65015,0.85507,0.91853,0.84817,0.92402,0.59254,1.20791,0.6603,0.83693,0.0086338,0.0086338,0.0086338
140,28361.3,1.35165,0.64698,0.85446,0.91885,0.84803,0.92416,0.59293,1.20665,0.66103,0.83664,0.0086239,0.0086239,0.0086239
141,28562.4,1.3569,0.64892,0.8557,0.91885,0.84875,0.92442,0.59354,1.20509,0.66135,0.83635,0.008614,0.008614,0.008614
142,28764,1.34806,0.6399,0.85241,0.91969,0.84749,0.92431,0.59361,1.20423,0.66191,0.83612,0.0086041,0.0086041,0.0086041
143,28965.3,1.35389,0.64929,0.8554,0.91987,0.84808,0.92475,0.59442,1.20312,0.6617,0.83598,0.0085942,0.0085942,0.0085942
144,29165.4,1.36312,0.65368,0.85556,0.92059,0.84851,0.92492,0.59451,1.20283,0.66201,0.836,0.0085843,0.0085843,0.0085843
145,29366.5,1.34896,0.6435,0.85433,0.91996,0.8483,0.92522,0.59483,1.20235,0.66179,0.83597,0.0085744,0.0085744,0.0085744
146,29571,1.3431,0.64212,0.85331,0.92024,0.84749,0.92524,0.59481,1.20157,0.66092,0.83579,0.0085645,0.0085645,0.0085645
147,29781.2,1.34038,0.63959,0.85482,0.92129,0.84706,0.92495,0.59441,1.20113,0.66051,0.83574,0.0085546,0.0085546,0.0085546
148,29985.7,1.34443,0.64585,0.85476,0.92276,0.84674,0.92528,0.59454,1.20058,0.66,0.83572,0.0085447,0.0085447,0.0085447
149,30187.9,1.35011,0.64377,0.8525,0.92259,0.84639,0.92501,0.59499,1.19987,0.66163,0.83558,0.0085348,0.0085348,0.0085348
150,30392.9,1.346,0.64035,0.85447,0.923,0.84639,0.92503,0.59529,1.19938,0.66302,0.83547,0.0085249,0.0085249,0.0085249
151,30601.6,1.3435,0.6414,0.85371,0.92315,0.84646,0.92522,0.59533,1.19865,0.66287,0.8354,0.008515,0.008515,0.008515
152,30803.9,1.34838,0.64431,0.85622,0.92265,0.84703,0.92519,0.59477,1.19815,0.66314,0.83536,0.0085051,0.0085051,0.0085051
153,31010.8,1.34333,0.63908,0.85266,0.92437,0.84622,0.92543,0.59474,1.19782,0.66333,0.83531,0.0084952,0.0084952,0.0084952
154,31207.8,1.34557,0.64087,0.85538,0.92328,0.84626,0.92523,0.59475,1.19749,0.66342,0.83531,0.0084853,0.0084853,0.0084853
155,31407.4,1.3436,0.63983,0.85347,0.92193,0.84694,0.92563,0.59482,1.19708,0.66374,0.83519,0.0084754,0.0084754,0.0084754
156,31607.9,1.34383,0.63981,0.85106,0.92199,0.84653,0.92566,0.59489,1.19654,0.66405,0.83506,0.0084655,0.0084655,0.0084655
157,31813.5,1.34075,0.64093,0.85455,0.92182,0.84693,0.92581,0.59505,1.19615,0.66436,0.83502,0.0084556,0.0084556,0.0084556
158,32014.1,1.34113,0.64261,0.85409,0.92143,0.84718,0.92558,0.5952,1.19587,0.66469,0.83495,0.0084457,0.0084457,0.0084457
159,32220.8,1.34424,0.64496,0.85324,0.92137,0.84806,0.92599,0.59563,1.19536,0.66487,0.83484,0.0084358,0.0084358,0.0084358
160,32422.5,1.34193,0.64091,0.85403,0.92098,0.84823,0.92603,0.59561,1.19536,0.66453,0.83482,0.0084259,0.0084259,0.0084259
161,32624.4,1.35037,0.64391,0.85453,0.92051,0.84858,0.92567,0.59552,1.19545,0.66382,0.83486,0.008416,0.008416,0.008416
162,32828,1.33032,0.63501,0.85212,0.92015,0.84885,0.92589,0.59567,1.19527,0.66262,0.83481,0.0084061,0.0084061,0.0084061
163,33024.9,1.33863,0.64013,0.85413,0.92036,0.84893,0.92589,0.59592,1.19523,0.66202,0.83483,0.0083962,0.0083962,0.0083962
164,33223.8,1.32909,0.63365,0.85198,0.92088,0.84939,0.92655,0.59631,1.19494,0.66105,0.83482,0.0083863,0.0083863,0.0083863
165,33424.2,1.3354,0.63573,0.85188,0.92075,0.85035,0.92664,0.59659,1.19445,0.66067,0.83476,0.0083764,0.0083764,0.0083764
